,headline_text
863,england deserves cup favouritism oneill
864,england keep grand slam dreams alive
865,england punishes disappointing pakistan
866,fake crocs scare off flamingos
867,fickle weather again holds up cup racing
868,firefighters to continue containment efforts near
869,five palestinians die in army crackdown
870,flower may play in australia report
871,forensic teams struggle to identify us club fire
872,former un ambassador criticises howard remarks
873,freeman expected to race in melbourne
874,gatecrashers blamed for violence at bali thank you
875,geelong fights for ring road funding
876,govt paper discusses preservation of adelaide
877,gunners demolish city as man u stumble
878,hampshire chairman calls for review of crickets
879,hampshire wants warne once ban is done
880,hard work steals craftsmens identities
881,hayden focusing on cricket not politics
882,henin hardenne outlasts seles in dubai thriller
883,hill stars as tigers claim charity cup
884,hockeyroos save best till last
885,hotels association to fight smoking ban
886,howell extends la lead
887,hussain hails special england performance
888,iaea says iraqi cooperation improving
889,iraqi minister says protests prompt wheat decision
890,kings regain top spot
891,lions roll swans
892,man charged after bashing nightclub door with
893,man charged over ormiston attack
894,man charged with attempted murder after stabbing
895,man fights for life after stabbing
896,man stabbed to death in melbourne brawl
897,maroney makes one last swim
898,medicare offices busier as bulk billing dips
899,mirnyi slays federer to reach rotterdam final
900,missile issue can be resolved with less pressure
901,monster surf sweeps woman to death
902,more magic from martina
903,natasha spat wont destroy us dems
904,nataus
905,newton predicted 2060 armageddon reports
906,new un resolution would give hussein days downer
907,nine killed in violence outside karachi mosque
908,nsw greens call for parties to show their hand
909,nt uni receives cwealth literacy grant
910,odriscoll captures record as ireland downs italy
911,oil and water does mix okay
912,opec pledges oil will flow despite war
913,patterson says states should make an offer
914,pearson says bureaucracy fails indigenous welfare
915,perth tigers giants notch nbl wins
916,pilot dies in ultralight plunge
917,polanski gets best director cesar for the pianist
918,police arrest pair attacked with bricks bottles
919,police search for men after shooting
920,pope urges blair to avert war
921,psg crash to defeat despite ronaldinho gem
922,rain still needed in central west qld
923,raymond defends memphis title
924,research turns spotlight on binge drinking
925,roddick wants no dent in atp crown
926,s african weapons inspectors to iraq
927,sa police investigate fatal road crash
928,searchers retrieve ultralight pilots body
929,search intensifies for missing pilot
930,search to begin for missing pilot
931,ses busy after flash floods in north west nsw
932,sharks steal glory in perth
933,sherpa plans worlds highest cyber cafe byo oxygen
934,storms whip nsw coast as northern floods steady
935,strikers rout kingz
936,strikers rout kingz united down knights
937,tail rescues struggling wa
938,tamworth flooding may cost millions
939,teacher student guidelines need modifying mp
940,teenager dies after transplant mix up
941,tendulkar blazes century in big total
942,territory on search for raw comedy talent
943,third time lucky for canberra unis brisbane campus
944,tight security to greet cricketers in zimbabwe
945,tourists cry foul over spilt milk
946,tropfest turns tarpfest but show will go on
947,turkey signals go ahead for us troops
948,tyson destroys etienne in less than a minute
949,un vote on iraq soon after march 7 powell
950,us spain draft second un resolution
951,us to put new resolution before un
952,warne appeal to delay naming of replacement
953,warne will be back pollock
954,warnings of water contamination after recent rain
955,wa struggling in one day final
956,waugh expected to play in one day final
957,waugh leads blues to one day title
958,weapons experts denounce us intelligence on iraq
959,yemen chopper crash kills eight troops
960,94 dead in china earthquake
961,academic considers indigenous culture role in
962,adelaide man charged with firearm offences
963,ajax lose ground after utrecht defeat
964,all ords jumps 33 points higher
965,alp chooses charlestown candidate
966,amino levels linked to malaria treatment research
967,anti french jokes censored broadcaster complains
968,asa welcomes court ruling on chairman
969,at least five killed in factional afghan fighting
970,awb defends grain freight spot price tendering
971,beef prices set to rise
972,bhp billiton reveals 19pc profit downturn
973,blokes peel off pants for peace
974,bomb alert delays domestic flights by philippine
975,boulami set to be banned iaaf source
976,boy almost drowns after being swept down storm
977,bradman baggy green may go on tour
978,britain concerned about reports of iraqi missiles
979,building industry set for a shake up
980,cabinet meets to balance budget priorities
981,canberra steps up tourist campaign
982,carr considers clarence battle
983,celtic still on for four trophies
984,chavez blasts media as violence continues
985,civilian killed as gunmen attack minibus in east
986,claim more than 20 diamond miners murdered in congo
987,claims of new evidence in an unsolved double murder
988,clean coal technology still years away
989,coastal grazing boom lifts property prices
990,combined approach tackles grasshoppers
991,committee to offer aged care warning
992,community bank shares trading shows little change
993,community cleans up after drenching
994,community flocks to use waste transfer station
995,conference to focus on tuna fishery
996,council hosts farewell for mp
997,council resists eba roster pressure
998,customs house restoration opened
999,dam water levels still critically low
1000,death toll hits 41 during bangladeshs local
1001,dent rolls roddick to take st jude title
1002,deployment of troops to iraq will cost too much opp
